Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude,School Name,LA Name,Centre Type,Address Line1,Address Line2,Address Line3,Post Code
ML10 6DP,ML10 6DP,NS 69866 44391,269866,644391,55.675513,-4.0709194,Strathaven Academy,South Lanarkshire,Local Authority,Bowling Green Road,Strathaven,,ML10 6DP
ML12 6AG,ML12 6AG,NT 04255 37432,304255,637432,55.621014,-3.5219037,Biggar High School,South Lanarkshire,Local Authority,Market Road,Biggar,,ML12 6AG
ML8 4EA,ML8 4EA,NS 85469 50572,285469,650572,55.734956,-3.8255425,Carluke High School,South Lanarkshire,Local Authority,Carnwath Road,Carluke,,ML8 4EA
ML11 9AJ,ML11 9AJ,NS 88466 43242,288466,643242,55.669827,-3.7748524,Lanark Grammar School,South Lanarkshire,Local Authority,Kirklands Road,Lanark,,ML11 9AJ
ML11 0FS,ML11 0FS,NS 81307 40493,281307,640493,55.643442,-3.8874181,Lesmahagow High School,South Lanarkshire,Local Authority,Strathaven Road,Lesmahagow,,ML11 0FS
FK17 8JH,FK17 8JH,NN 62928 07344,262928,707344,56.238803,-4.2131908,McLaren High School,Stirling,Local Authority,Mollands Road,Callander,,FK17 8JH
FK15 9EW,FK15 9EW,NN 77180 00664,277180,700664,56.182722,-3.9803093,Dunblane High School,Stirling,Local Authority,Old Doune Road,Dunblane,,FK15 9EW
G63 0PW,G63 0PW,NS 55036 88973,255036,688973,56.071545,-4.3303988,Balfron High School,Stirling,Local Authority,Roman Road,Balfron,,G63 0PW
FK7 0HQ,FK7 0HQ,NS 80498 90928,280498,690928,56.096143,-3.9225183,Bannockburn High School,Stirling,Local Authority,Bannockburn Road,Bannockburn,STIRLING,FK7 0HQ
FK8 2PA,FK8 2PA,NS 79081 91969,279081,691969,56.105134,-3.9457528,Stirling High School,Stirling,Local Authority,Torbrex Farm Road,,STIRLING,FK8 2PA
FK7 7WS,FK7 7WS,NS 81363 93716,281363,693716,56.121394,-3.9098625,St Modan's High School,Stirling,Local Authority,Royal Stuart Way,,STIRLING,FK7 7WS
FK9 5HW,FK9 5HW,NS 80271 95833,280271,695833,56.14013,-3.9283677,Wallace High School,Stirling,Local Authority,Airthrey Road,,STIRLING,FK9 5HW
G81 2DB,G81 2DB,NS 50308 71466,250308,671466,55.912932,-4.3965304,St Peter the Apostle High School,West Dunbartonshire,Local Authority,Kirkoswald Drive,,CLYDEBANK,G81 2DB
G82 2AJ,G82 2AJ,NS 40467 75547,240467,675547,55.9464,-4.5562202,Dumbarton Academy,West Dunbartonshire,Local Authority,Crosslet Road,,DUMBARTON,G82 2AJ
G82 3DR,G82 3DR,NS 40956 76791,240956,676791,55.957728,-4.5491325,Our Lady & St Patrick's High School,West Dunbartonshire,Local Authority,Howatshaws Road,Bellsmyre,DUMBARTON,G82 3DR
G83 0BH,G83 0BH,NS 38824 79231,238824,679231,55.978917,-4.5847045,Vale Of Leven Academy,West Dunbartonshire,Local Authority,Main Street,,ALEXANDRIA,G83 0BH
G81 3EJ,G81 3EJ,NS 49276 71387,249276,671387,55.911901,-4.4129811,Clydebank High School,West Dunbartonshire,Local Authority,Janetta Street,,CLYDEBANK,G81 3EJ
EH55 8BF,EH55 8BF,NT 02450 63357,302450,663357,55.853507,-3.559816,West Calder High School,West Lothian,Local Authority,Limefield Lane,Polbeth,WEST CALDER,EH55 8BF
EH54 8PS,EH54 8PS,NT 03209 69166,303209,669166,55.905834,-3.5497747,Deans Community High School,West Lothian,Local Authority,Eastwood Park,Deans,LIVINGSTON,EH54 8PS
EH54 6HW,EH54 6HW,NT 05070 68474,305070,668474,55.89999,-3.5197762,Inveralmond Community High School,West Lothian,Local Authority,Willowbank,Ladywell,LIVINGSTON,EH54 6HW
EH48 3LY,EH48 3LY,NS 92890 68185,292890,668185,55.894837,-3.7143622,Armadale Academy,West Lothian,Local Authority,West Main Street,Armadale,WEST LOTHIAN,EH48 3LY
EH48 1LF,EH48 1LF,NS 99229 68430,299229,668430,55.898406,-3.6131337,Bathgate Academy,West Lothian,Local Authority,Edinburgh Road,Bathgate,WEST LOTHIAN,EH48 1LF
EH47 7LX,EH47 7LX,NS 97618 65345,297618,665345,55.870359,-3.637718,St Kentigern's Academy,West Lothian,Local Authority,West Main Street,Blackburn,WEST LOTHIAN,EH47 7LX
EH52 6AG,EH52 6AG,NT 07159 72545,307159,672545,55.936962,-3.4877802,Broxburn Academy,West Lothian,Local Authority,Cardross Road,Broxburn,WEST LOTHIAN,EH52 6AG
EH49 6EH,EH49 6EH,NS 99453 76577,299453,676577,55.971623,-3.6125907,Linlithgow Academy,West Lothian,Local Authority,Braehead Road,Linlithgow,WEST LOTHIAN,EH49 6EH
EH47 0HL,EH47 0HL,NS 94989 65152,294989,665152,55.86806,-3.6796366,Whitburn Academy,West Lothian,Local Authority,Shanks Road,Whitburn,WEST LOTHIAN,EH47 0HL
EH54 6NE,EH54 6NE,NT 05308 66349,305308,666349,55.88095,-3.5152273,The James Young High School,West Lothian,Local Authority,Quentin Rise,Dedridge West,LIVINGSTON,EH54 6NE
EH54 6AT,EH54 6AT,NT 04897 67298,304897,667298,55.889393,-3.5221282,St Margaret's Academy,West Lothian,Local Authority,Howden South Road,Howden,LIVINGSTON,EH54 6AT
